"time(long)","rating","title","text","reply"
"1490331600000","1","","It doesn't tell you how to higher score and  the tourial says to tap two tiles and said your ready I suggest not to get this game.",""
"1490331600000","5","","Love it",""
"1490331600000","5","","Nice game ....👍👍",""
"1490331600000","1","","I hate this game,it always say as bad",""
"1490331600000","5","","I love it. It's something to keep my hands busy.",""
"1490331600000","5","","A really good game the way it lets play all that so i give this game 5 stars",""
"1490331600000","5","","I JUST LOVE IT😚",""
"1490331600000","1","","Hated it",""
"1490331600000","3","","Its ok",""
"1490331600000","5","","Awsome 😍😍😍",""
"1490331600000","5","","I think it is fun and challenging and great to play",""
"1490331600000","5","","Love it💜💜",""
"1490331600000","5","","Best game ever",""
"1490331600000","5","","I think this is a very fun and challenging game for people to play so I strongly encourage you to download and play this fun game!!!!!",""
"1490331600000","4","","It was fun to play",""
"1490331600000","5","","I loved the game",""
"1490331600000","5","","Really nice piano songs 👌👌👌👌 I love it💞",""
"1490331600000","5","","Very relevant and easy ,not so difficult.GOOD!",""
"1490331600000","5","","Awesome game",""
"1490331600000","5","","Cissca. Joy. A.  Salaber",""
"1490331600000","5","","It's just awsome",""
"1490331600000","1","","THEY MAKE YOU USE TO MANY FINGERS !",""
"1490331600000","5","","I love this game because it challenges me and my fingers",""
"1490331600000","1","","The werst game ever",""
"1490331600000","5","","Ok",""
"1490331600000","5","","I think it's a pretty good game if your bored or your waiting at a salon to get your hair done etc.",""
"1490331600000","5","","Awesome game",""
"1490331600000","5","","I love this game but how to install pls help me. I loved it pls help I want to play this game but I don't know how?",""
"1490331600000","5","","It is awsome",""
"1490331600000","5","","Awsome",""
"1490331600000","1","","XDROBLO",""
"1490331600000","5","","really good for me",""
"1490331600000","4","","Good",""
"1490331600000","5","","Amazing how do you do it",""
"1490331600000","5","","It is so good I don't even mind the ads",""
"1490331600000","3","","More practice",""
"1490331600000","5","","It is hard",""
"1490331600000","5","","Its a really nice game I think everyone should play it",""
"1490331600000","5","","Ok",""
"1490331600000","5","","Jamaica simon",""
"1490331600000","5","","Beutiful. Very good",""
"1490331600000","5","","Good",""
"1490331600000","5","","Good game but it is true we need a pause button",""
"1490331600000","5","","Agdh 😨😨😨😨",""
"1490331600000","5","","When im taping it doesn't register its annoying but the game is pretty good",""
"1490331600000","5","","awesome,I've played this game scince I was 6,I'm 9 now,its been my favorite game since literatlly forever,ihope everybody else has as much fun as I do!",""
"1490331600000","5","","Loved it",""
"1490331600000","5","","I love it",""
"1490331600000","5","","😍😍😍😍😍😍😍😍",""
"1490331600000","2","","Literally a copy of piano tiles 2, so many others like that. If you want a good piano game just go to ""Piano tiles 2"" much more content, you don't get ads after every game. Plus you get more songs you know. The only thing I enjoyed from this was the guitar based songs, kind of.",""
"1490331600000","5","","Yes",""
"1490331600000","4","","It's really good",""
"1490331600000","1","","Crystal. You lock",""
"1490331600000","4","","So best game",""
"1490331600000","5","","Its to good iblove the sound",""
"1490331600000","5","","i dontnow evrything in this game and i am so soyyy😔😔😔😔😔😔😔😔😔😔",""
"1490331600000","5","","U do a very great app.  App of the year!! Thumbs-up.... Continue developing n hard efforts !!!!",""
"1490331600000","5","","I love it.",""
"1490331600000","1","","Too cheap to pay for actual songs? This game would be A LOT funner with familiar songs.",""
"1490245200000","1","","All you get is BAD when you play data why I'm oli dowloding dis stupid game",""
"1490245200000","4","","Great game",""
"1490245200000","5","","Game Music: 4.9 Stars (of 5 Stars). Awesome ! I love the ""PIANO - MAGIC WHITE TILES 2 Game"" game music.",""
"1490245200000","5","","It's awesome! But too many ads",""
"1490245200000","1","","😠😠😠",""
"1490245200000","5","","Challingeong af",""
"1490245200000","2","","On my phone it skipped in the songs and would lag on my phone.",""
"1490245200000","5","","I love it,it is mostly like the piano tiles by chetha i love that too i gave all of the servey qustions a 5.5555😁😁",""
"1490245200000","5","","Helps a lot",""
"1490245200000","5","","It's a good game e",""
"1490245200000","5","","Its very nice game only it is very fast game",""
"1490245200000","5","","Is an good app and its intertaning like it😊🌸",""
"1490245200000","1","","I give up on this dumb game",""
"1490245200000","5","","Awesome app",""
"1490245200000","5","","I love this game I've played ever since I was 5 now I'm almost 10",""
"1490245200000","5","","It so fu",""
"1490245200000","5","","I think it's a great game.",""
"1490245200000","4","","Overall a good app. If only you can add a pause button to allow us to pause in the middle of the game so that we can run our errand and get back to the game when we are done. And also, if there is CHINESE songs, it would be excellent!",""
"1490245200000","5","","Addicting and awesome to play u never get tired of it!😉",""
"1490245200000","5","","Eh (;",""
"1490245200000","5","","Really nice",""
"1490245200000","5","","I like this game it is cool!!!!",""
"1490245200000","1","","This game is stupid I hate it it says  bad and it makes me feel so bad",""
"1490245200000","5","","I love it😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😁😁😁😁😁😁😁😁😁😁😁😁",""
"1490245200000","4","","Great and fun",""
"1490245200000","5","","This is cool",""
"1490245200000","3","","Good",""
"1490245200000","5","","It's awesome",""
"1490245200000","5","","It's nice",""
"1490245200000","5","","I love it",""
"1490245200000","5","","I love it",""
"1490245200000","5","","I love this games it makes me so happy",""
"1490245200000","5","","Amazing",""
"1490245200000","5","","The temptation. When u have t go fast is amazing can I need to work out my fingers and that is the thing to do it.😎",""
"1490245200000","5","","It's addictive and fun",""
"1490245200000","3","","It's a good game but not",""
"1490245200000","2","","I disliked it because it kept saying bad like I was trying my best",""
"1490245200000","5","","I really love this game because it really gets my bones to work",""
"1490245200000","1","","Horrible but OK",""
"1490245200000","1","","Im rating it bad because every single time i clicked on the black tile it counted it wrong;-;",""
"1490245200000","5","","Good",""
"1490245200000","4","","If you could just add a pause button it would make it two times better",""
"1490245200000","4","","I love this game overall but the problem is my tablet is saying that the game is trying to get hold of my location is that the game or are u guys tying to find out where I live?",""
"1490245200000","5","","Lovely",""
"1490245200000","5","","Best game ever",""
"1490158800000","5","","Its. Asome",""
"1490158800000","5","","That y'all are gay",""
"1490158800000","5","","I love your game",""
"1490158800000","5","","Awsome",""
"1490158800000","5","","I feel very happy because this game is awesome!😆",""
"1490158800000","4","","Good game it so good but my screen keeps freezing",""
"1490158800000","1","","If i could i would give this a zero. It gives me a lot of bad",""
"1490158800000","5","","Love it go download please",""
"1490158800000","5","","It's  faboulous and easy",""
"1490158800000","5","","Love  it",""
"1490158800000","1","","I don't recommend this app at all 😠😠😠😠😡😡😡",""
"1490158800000","5","","Loved it",""
"1490158800000","5","","Super game",""
"1490158800000","5","","I Love the music😛😍😍😍",""
"1490158800000","5","","Best game ever but😈",""
"1490158800000","5","","i  It is amazing",""
"1490158800000","5","","I love it. I love it",""
"1490158800000","2","","I dislike this game because you keep on saying we're bad and we're trying our best and it's probably our first time",""
"1490158800000","5","","Love it",""
"1490158800000","5","","Love it",""
"1490158800000","4","","I love this game because its addicting",""
"1490158800000","5","","I think that I have never ever played a game this good and I'm just in love with the first song I could play this game 24/7/365 and never get tired of it thank you for creating a wonderful/amazing game I love it",""
"1490158800000","5","","This game is awesome... I'm really getting the hang of it..... I can challenge anybody and I can try to beat anybody",""
"1490158800000","5","","I love it! :-) :-) You're the best",""
"1490158800000","5","","Its a fun game",""
"1490158800000","5","","It a fun game once you get the hang of it",""
"1490158800000","5","","I love it but the ads need to leave.",""
"1490158800000","5","","I love the piano so much that I installed all Piano games 😄",""
"1490158800000","4","","This game is so abicting and is a really easy and cool game I love this game I play it every day after school cool game to get",""
"1490158800000","5","","Its good luck",""
"1490158800000","5","","BEST GAME EVA!!!!!!!!!!😺🐈",""
"1490158800000","5","","It is a very cool game",""
"1490158800000","5","","OMG!!!!THIS GAME IS AMAZING!!! Not only does it challenge your speed it gives you great music to listen to!!!",""
"1490158800000","5","","I love this game so much so far this is my favrite game",""
"1490158800000","1","","It was kinda cool but very slow. Slow",""
"1490158800000","5","","Ilovethisgame😍😍😍",""
"1490158800000","5","","I think it is a very fun games and music",""
"1490158800000","2","","I get a bad on everything i do!",""
"1490158800000","5","","I love it so much and everyone else to I give a+ on this Game 😇😂😁😄😊",""
"1490158800000","5","","Amazing",""
"1490158800000","5","","This omg is aswome 😉😉😉😆😆🤗🤗😘",""
"1490158800000","5","","It is very good",""
"1490158800000","5","",":):):):)(; (;(;(;(; (;(; (;",""
"1490158800000","1","","It takes WiFi",""
"1490158800000","5","","I really like this game +the music is so beautiful and sometimes emotional😂😅",""
"1490158800000","5","","I personally think that this was the best game I've ever played",""
"1490158800000","5","","I love the music",""
"1490158800000","1","","I hate it it's kinda stupid because when you tap the tile it doesn't even tap so it's stupid!",""
"1490158800000","5","","Or makes me happy",""
"1490158800000","1","","Hate hate hate every time I press the button it be wrong",""
"1490158800000","5","","I have only just started and a it is my favourite game yet",""
"1490158800000","5","","I think it ok",""
"1490158800000","1","","It",""
"1490158800000","3","","It miss me up when it says perfect good and I hate when it says bad I just hate it",""
"1490158800000","5","","I think that this game is amazing and I loved the levels",""
"1490158800000","5","","I  like  it",""
"1490158800000","5","","This is my favorite game",""
